Date,Close,High,Low,Open,Volume,O2C,O2L,O2H
2000-01-03,35.72673034667969,36.35889233136624,34.32831141085791,35.97576385579863,53228400,-0.006922257720979715,-0.04579339723109691,0.010649627263045762
2000-01-04,34.519866943359375,35.899129107577956,34.4049284296745,34.80721322757158,54119000,-0.00825536598789218,-0.011557512383048888,0.03137039075399016
2000-01-05,34.88382339477539,35.66923622244469,33.52371825417734,34.060097746244175,64059600,0.02418447694038249,-0.015748031496062933,0.04724409448818901
2000-01-06,33.71529769897461,34.90299568609758,33.21723080114885,34.38577236912467,54976600,-0.01949860724233985,-0.03398328690807793,0.015041782729805123
2000-01-07,34.1558952331543,34.40492868129283,32.89157157337405,33.29385637421322,62013600,0.025891829689297978,-0.012082853855005724,0.033371691599539614
2000-01-10,34.40492248535156,34.84552004501921,34.136732666423434,34.76889438246831,44963600,-0.010468319559228653,-0.018181818181818132,0.0022038567493113384
2000-01-11,33.523738861083984,35.017939793178016,33.313018216814314,34.17505721609933,46743600,-0.019058295964125633,-0.025224215246636844,0.024663677130044838
2000-01-12,32.43180465698242,33.37046882012013,32.010363604145084,33.25553035116449,66532400,-0.024769585253456114,-0.03744239631336394,0.0034562211981568358
2000-01-13,33.04481506347656,33.293848452360734,31.11001719599185,31.991212264351223,83144000,0.03293413173652695,-0.027544910179640607,0.04071856287425152
2000-01-14,34.40492248535156,34.9221457075701,32.41265525902831,32.85325281869596,73416400,0.047230320699708304,-0.013411078717201213,0.06297376093294454
2000-01-18,35.34358596801758,35.7075578560351,34.251670303965,34.27082671912382,81483600,0.031302403577417606,-0.0005589714924539154,0.04192286193404138
2000-01-19,32.7957878112793,34.175049915491975,32.48928512145425,33.86854722566694,97568200,-0.03167420814479637,-0.04072398190045263,0.009049773755656045
2000-01-20,32.489288330078125,33.619517110428724,32.45097549006624,32.81494747017915,56349800,-0.009924109748978555,-0.011091652072387746,0.024518388791593654
2000-01-21,31.799640655517575,32.872399617390464,31.646389375250028,32.79577397725669,68416200,-0.030373831775701153,-0.03504672897196261,0.002336448598130833
2000-01-24,31.03339958190918,32.39350536605458,30.89930464544414,31.81402367633066,63597600,-0.024537106728887523,-0.02875206984796024,0.01821466205027856
2000-01-25,31.51231384277344,31.83797301318508,30.516179909749596,30.95677761089476,59823200,0.017945544554455416,-0.014232673267326888,0.02846534653465343
2000-01-26,30.45868492126465,31.72300769158129,30.382059298821215,31.397348796196702,49365000,-0.02989627821842583,-0.03233679072605245,0.01037217815741299
2000-01-27,30.267139434814453,31.01423971200291,29.807385418083093,30.61674405170392,63654800,-0.0114187392460503,-0.026435163460034373,0.012982950101673791
2000-01-28,30.113901138305664,30.726906759441658,29.807398327737666,30.07558828698466,58225400,0.0012738853503185682,-0.00891719745222927,0.021656050955414126
2000-01-31,29.99895477294922,30.094736876311128,29.079446580674915,29.922329090259694,73194200,0.0025608194622278777,-0.02816901408450701,0.005761843790012843
2000-02-01,31.550636291503903,31.646418429608044,29.941496371354344,30.190529930425107,70196600,0.04505076142131977,-0.008248730964466948,0.048223350253807105
2000-02-02,30.899309158325195,31.8571302729664,30.80352704686108,31.397376137938625,49915600,-0.01586333129957306,-0.018913971934106117,0.014643075045759563
2000-02-03,31.761327743530273,31.93373543333231,30.68856878476206,31.282417494080185,49186000,0.015309246785057963,-0.01898346601347234,0.02082057562767896
2000-02-04,32.66168975830078,33.10228733275294,31.919378627430312,31.991215188482293,55365400,0.020958083832335227,-0.0022455089820359255,0.03473053892215572
2000-02-07,32.680843353271484,32.75746901177857,31.952899597454184,32.7383125971518,40005800,-0.0017554125219426358,-0.02399063779988291,0.000585137507314212
2000-02-08,33.69614028930664,33.715296707890666,32.62338084860103,32.62338084860103,56229000,0.03288314738696412,0.0,0.0334703464474455
2000-02-09,31.87628173828125,33.54289021858802,31.837968899653507,33.54289021858802,55090000,-0.049685893774985675,-0.05082809822958308,0.0
2000-02-10,32.489288330078125,32.66169611013161,31.41652880974536,31.842759154877577,54527800,0.020303805083471075,-0.013385471499473675,0.02571815310573013
2000-02-11,30.631118774414062,32.144476112236894,30.382085288443218,32.144476112236894,115559000,-0.04707985697258636,-0.054827175208581554,0.0
2000-02-14,30.535329818725582,31.18664802063065,30.362922059397775,31.028607574580153,81028600,-0.01589751504861866,-0.02145392807532021,0.005093378607809934
2000-02-15,30.20966911315918,30.650266696927513,30.07557419636012,30.573641030185197,71027600,-0.011904761904762,-0.0162907268170428,0.0025062656641603232
2000-02-16,29.922327041625977,30.707740235420253,29.769075686739285,30.420393945007714,65202600,-0.016372795969773257,-0.021410579345088214,0.009445843828715309
2000-02-17,30.535329818725582,30.554486236428673,29.773862215027755,30.190514300069964,80343400,0.01142131979695422,-0.013800761421319785,0.012055837563451697
2000-02-18,29.136919021606445,30.66943284259824,29.079449753319256,30.65027641983584,79063000,-0.04937500000000002,-0.05124999999999992,0.0006250000000000824
2000-02-22,28.75377082824707,29.769060537705492,28.4472682744483,29.156055430107955,66296200,-0.013797634691195777,-0.02431011826544016,0.02102496714848877
2000-02-23,28.887882232666016,29.3476363265546,28.21740751241183,28.658005185721724,75847200,0.008021390374331559,-0.015374331550802102,0.024064171122994676
2000-02-24,29.04112434387207,29.38593980441936,28.19824210697868,28.887873028073273,69733200,0.005305039787798429,-0.023872679045093055,0.01724137931034465
2000-02-25,27.987524032592773,29.026759610120603,27.738490622309605,29.021970506076695,65301400,-0.03564356435643563,-0.044224422442244275,0.00016501650165020858
2000-02-28,28.06416130065918,28.236569117523295,27.010557975378457,27.661876394642903,76131800,0.014542936288088717,-0.02354570637119114,0.020775623268698057
2000-02-29,27.39368438720703,28.121628447846103,27.24043300601986,28.121628447846103,58437400,-0.02588555858310639,-0.03133514986376032,0.0
